Year,Region,Value
1910,Neotropic,0.004319084
1911,Neotropic,0.006238317
1912,Neotropic,0.000849893
1913,Neotropic,0.002419623
1914,Neotropic,0.003057502
1915,Neotropic,0.003282728
1916,Neotropic,0.003136443
1917,Neotropic,0.002028756
1918,Neotropic,0.000559991
1919,Neotropic,0.000620031
1920,Neotropic,0.000803419
1921,Neotropic,0.000511415
1922,Neotropic,0.001105087
1923,Neotropic,0.001162689
1924,Neotropic,0.001264106
1925,Neotropic,0.000642371
1926,Neotropic,0.00352363
1927,Neotropic,0.000986044
1928,Neotropic,0.001321588
1929,Neotropic,0.001160168
1930,Neotropic,0.000856966
1931,Neotropic,0.000538701
1932,Neotropic,0.000493771
1933,Neotropic,0.000366108
1934,Neotropic,0.000445047
1935,Neotropic,0.001350733
1936,Neotropic,0.001031376
1937,Neotropic,0.001374162
1938,Neotropic,0.000857538
1939,Neotropic,0.001352479
1940,Neotropic,0.001572737
1941,Neotropic,0.002180922
1942,Neotropic,0.003231463
1943,Neotropic,0.002872572
1944,Neotropic,0.004983382
1945,Neotropic,0.00582126
1946,Neotropic,0.007121526
1947,Neotropic,0.004870167
1948,Neotropic,0
1949,Neotropic,0.000610949
1950,Neotropic,0.001088334
1951,Neotropic,0.000678613
1952,Neotropic,0
1953,Neotropic,1.87474E-05
1954,Neotropic,0
1955,Neotropic,0.000370127
1956,Neotropic,0.000663888
1957,Neotropic,0.000347252
1958,Neotropic,0.00037731
1959,Neotropic,0.00039874
1960,Neotropic,0.000420808
1961,Neotropic,0.000443691
1962,Neotropic,0.000467719
1963,Neotropic,0.000493677
1964,Neotropic,0.000420191
1965,Neotropic,0.000482056
1966,Neotropic,0.000455605
1967,Neotropic,0.000335392
1968,Neotropic,0.000666699
1969,Neotropic,0.000605212
1970,Neotropic,0.000966844
1971,Neotropic,0.0014195
1972,Neotropic,0.002511677
1973,Neotropic,0.0042635
1974,Neotropic,0.015392831
1975,Neotropic,0.021072343
1976,Neotropic,0.026944825
1977,Neotropic,0.031688119
1978,Neotropic,0.037683327
1979,Neotropic,0.043819711
1980,Neotropic,0.042971302
1981,Neotropic,0.02956068
1982,Neotropic,0.025379166
1983,Neotropic,0.021869264
1984,Neotropic,0.029087613
1985,Neotropic,0.025855522
1986,Neotropic,0.02570122
1987,Neotropic,0.027735126
1988,Neotropic,0.029264852
1989,Neotropic,0.039538106
1990,Neotropic,0.041274154
1991,Neotropic,0.037291174
1992,Neotropic,0.041248983
1993,Neotropic,0.044636866
1994,Neotropic,0.04232531
1995,Neotropic,0.047376978
1996,Neotropic,0.053654187
1997,Neotropic,0.05523999
1998,Neotropic,0.062969162
1999,Neotropic,0.071150334
2000,Neotropic,0.080008918
2001,Neotropic,0.085919397
2002,Neotropic,0.08715629
2003,Neotropic,0.098382975
2004,Neotropic,0.107170328
2005,Neotropic,0.114906263
2006,Neotropic,0.123501451
2007,Neotropic,0.129127368
2008,Neotropic,0.122422567
2009,Neotropic,0.103845578
2010,Neotropic,0.124067925
2011,Neotropic,0.1302809
2012,Neotropic,0.408690021
1854,Oceania,5.43168E-07
1855,Oceania,9.52563E-07
1856,Oceania,1.64644E-05
1857,Oceania,3.36985E-06
1858,Oceania,2.1799E-06
1859,Oceania,2.82455E-07
1860,Oceania,1.92792E-07
1861,Oceania,1.73033E-07
1862,Oceania,1.77951E-07
1863,Oceania,6.61327E-08
1864,Oceania,4.02352E-08
1865,Oceania,2.83096E-08
1866,Oceania,9.26952E-08
1867,Oceania,2.72309E-06
1868,Oceania,2.0956E-06
1869,Oceania,2.67374E-06
1870,Oceania,3.07917E-06
1871,Oceania,4.5777E-06
1872,Oceania,6.03546E-06
1873,Oceania,3.60749E-06
1874,Oceania,6.03557E-06
1875,Oceania,0
1876,Oceania,0
1877,Oceania,0
1878,Oceania,0
1879,Oceania,0
1880,Oceania,0
1881,Oceania,0
1882,Oceania,0
1883,Oceania,0
1884,Oceania,0
1885,Oceania,0
1886,Oceania,0
1887,Oceania,0
1888,Oceania,0
1889,Oceania,0
1890,Oceania,0
1891,Oceania,0
1892,Oceania,0
1893,Oceania,0
1894,Oceania,0
1895,Oceania,0
1896,Oceania,1.26161E-05
1897,Oceania,9.86937E-06
1898,Oceania,1.18639E-05
1899,Oceania,1.13142E-05
1900,Oceania,0
1901,Oceania,0
1902,Oceania,0
1903,Oceania,0
1904,Oceania,0
1905,Oceania,0
1906,Oceania,0
1907,Oceania,0
1908,Oceania,0
1909,Oceania,0
1910,Oceania,0
1911,Oceania,0
1912,Oceania,7.67576E-07
1913,Oceania,6.83729E-07
1914,Oceania,6.3318E-07
1915,Oceania,5.78126E-07
1916,Oceania,5.63209E-07
1917,Oceania,4.70051E-07
1918,Oceania,3.3167E-07
1919,Oceania,2.63585E-07
1920,Oceania,0
1921,Oceania,0
1922,Oceania,0
1923,Oceania,0
1924,Oceania,0
1925,Oceania,3.02445E-06
1926,Oceania,7.44751E-06
1927,Oceania,0
1928,Oceania,0
1929,Oceania,0
1930,Oceania,0
1931,Oceania,0
1932,Oceania,0
1933,Oceania,0
1934,Oceania,0
1935,Oceania,0
1936,Oceania,0
1937,Oceania,0
1938,Oceania,1.45147E-07
1939,Oceania,0
1940,Oceania,0
1941,Oceania,0
1942,Oceania,0
1943,Oceania,0
1944,Oceania,0
1945,Oceania,0
1946,Oceania,0
1947,Oceania,0
1948,Oceania,0
1949,Oceania,0
1950,Oceania,0
1951,Oceania,0
1952,Oceania,0
1953,Oceania,0
1954,Oceania,0
1955,Oceania,0
1956,Oceania,0
1957,Oceania,0
1958,Oceania,5.66667E-06
1959,Oceania,1.12178E-05
1960,Oceania,1.67569E-05
1961,Oceania,2.22838E-05
1962,Oceania,2.77988E-05
1963,Oceania,3.33016E-05
1964,Oceania,3.72364E-05
1965,Oceania,4.73512E-05
1966,Oceania,4.87813E-05
1967,Oceania,2.18734E-05
1968,Oceania,1.41851E-05
1969,Oceania,9.52019E-05
1970,Oceania,3.22281E-05
1971,Oceania,6.09228E-06
1972,Oceania,0
1973,Oceania,0
1974,Oceania,0
1975,Oceania,0
1976,Oceania,0
1977,Oceania,0
1978,Oceania,3.90218E-06
1979,Oceania,7.25312E-06
1980,Oceania,6.51673E-06
1981,Oceania,0.000100478
1982,Oceania,0
1983,Oceania,1.47185E-05
1984,Oceania,1.90162E-05
1985,Oceania,9.5719E-05
1986,Oceania,0.000242215
1987,Oceania,0.000676361
1988,Oceania,0.000381335
1989,Oceania,9.00777E-05
1990,Oceania,0
1991,Oceania,2.8995E-05
1992,Oceania,5.04351E-05
1993,Oceania,5.40316E-05
1994,Oceania,6.3933E-05
1995,Oceania,8.94749E-05
1996,Oceania,5.90614E-05
1997,Oceania,0.000138961
1998,Oceania,8.71127E-05
1999,Oceania,0.000107539
2000,Oceania,0.0001749
2001,Oceania,0.000114141
2002,Oceania,0.000107019
2003,Oceania,0.000169851
2004,Oceania,0.000204644
2005,Oceania,0.000231848
2006,Oceania,0.000350274
2007,Oceania,0.000674129
2008,Oceania,0.00017006
2009,Oceania,0.000122051
2010,Oceania,0.000181052
2011,Oceania,4.99831E-05
2012,Oceania,6.52796E-05
